,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTFP,ATFP,MaW,HTstreak,ATstreak,HTGD,ATGD,DiffPts,DiffFormPts
0,2018-08-10,Man United,Leicester,2,1,H,0,0,0,0,,,M,M,M,M,M,M,M,M,M,M,0,0,1.0,0,0,,,,0
1,2018-08-11,Bournemouth,Cardiff,2,0,H,0,0,0,0,,,M,M,M,M,M,M,M,M,M,M,0,0,1.0,0,0,,,,0
2,2018-08-11,Fulham,Crystal Palace,0,2,A,0,0,0,0,,,M,M,M,M,M,M,M,M,M,M,0,0,1.0,0,0,,,,0
3,2018-08-11,Huddersfield,Chelsea,0,3,A,0,0,0,0,,,M,M,M,M,M,M,M,M,M,M,0,0,1.0,0,0,,,,0
4,2018-08-11,Newcastle,Tottenham,1,2,A,0,0,0,0,,,M,M,M,M,M,M,M,M,M,M,0,0,1.0,0,0,,,,0
5,2018-08-11,Watford,Brighton,2,0,H,0,0,0,0,,,M,M,M,M,M,M,M,M,M,M,0,0,1.0,0,0,,,,0
6,2018-08-11,Wolves,Everton,2,2,D,0,0,0,0,,,M,M,M,M,M,M,M,M,M,M,0,0,1.0,0,0,,,,0
7,2018-08-12,Arsenal,Man City,0,2,A,0,0,0,0,,,M,M,M,M,M,M,M,M,M,M,0,0,1.0,0,0,,,,0
8,2018-08-12,Liverpool,West Ham,4,0,H,0,0,0,0,,,M,M,M,M,M,M,M,M,M,M,0,0,1.0,0,0,,,,0
9,2018-08-12,Southampton,Burnley,0,0,D,0,0,0,0,,,M,M,M,M,M,M,M,M,M,M,0,0,1.0,0,0,,,,0
10,2018-08-18,Cardiff,Newcastle,0,0,D,0,1,2,2,0.0,0.0,L,M,M,M,M,L,M,M,M,M,0,0,2.0,0,0,-2.0,-1.0,0.0,0
11,2018-08-18,Chelsea,Arsenal,3,2,H,3,0,0,2,3.0,0.0,W,M,M,M,M,L,M,M,M,M,3,0,2.0,0,0,3.0,-2.0,3.0,3
12,2018-08-18,Everton,Southampton,2,1,H,2,0,2,0,1.0,1.0,D,M,M,M,M,D,M,M,M,M,1,1,2.0,0,0,0.0,0.0,0.0,0
13,2018-08-18,Leicester,Wolves,2,0,H,1,2,2,2,0.0,1.0,L,M,M,M,M,D,M,M,M,M,0,1,2.0,0,0,-1.0,0.0,-1.0,-1
14,2018-08-18,Tottenham,Fulham,3,1,H,2,0,1,2,3.0,0.0,W,M,M,M,M,L,M,M,M,M,3,0,2.0,0,0,1.0,-2.0,3.0,3
15,2018-08-18,West Ham,Bournemouth,1,2,A,0,2,4,0,0.0,3.0,L,M,M,M,M,W,M,M,M,M,0,3,2.0,0,0,-4.0,2.0,-3.0,-3
16,2018-08-19,Brighton,Man United,3,2,H,0,2,2,1,0.0,3.0,L,M,M,M,M,W,M,M,M,M,0,3,2.0,0,0,-2.0,1.0,-3.0,-3
17,2018-08-19,Burnley,Watford,1,3,A,0,2,0,0,1.0,3.0,D,M,M,M,M,W,M,M,M,M,1,3,2.0,0,0,0.0,2.0,-2.0,-2
18,2018-08-19,Man City,Huddersfield,6,1,H,2,0,0,3,3.0,0.0,W,M,M,M,M,L,M,M,M,M,3,0,2.0,0,0,2.0,-3.0,3.0,3
19,2018-08-20,Crystal Palace,Liverpool,0,2,A,2,4,0,0,3.0,3.0,W,M,M,M,M,W,M,M,M,M,3,3,2.0,0,0,2.0,4.0,0.0,0
20,2018-08-25,Arsenal,West Ham,3,1,H,2,1,5,6,0.0,0.0,L,L,M,M,M,L,L,M,M,M,0,0,3.0,0,0,-1.5,-2.5,0.0,0
21,2018-08-25,Bournemouth,Everton,2,2,D,4,4,1,3,3.0,2.0,W,W,M,M,M,W,D,M,M,M,6,4,3.0,0,0,1.5,0.5,1.0,2
22,2018-08-25,Huddersfield,Cardiff,0,0,D,1,0,9,2,0.0,0.5,L,L,M,M,M,D,L,M,M,M,0,1,3.0,0,0,-4.0,-1.0,-0.5,-1
23,2018-08-25,Liverpool,Brighton,1,0,H,6,3,0,4,3.0,1.5,W,W,M,M,M,W,L,M,M,M,6,3,3.0,0,0,3.0,-0.5,1.5,3
24,2018-08-25,Southampton,Leicester,1,2,A,1,3,2,2,0.5,1.5,L,D,M,M,M,W,L,M,M,M,1,3,3.0,0,0,-0.5,0.5,-1.0,-2
25,2018-08-25,Wolves,Man City,1,1,D,2,8,4,1,0.5,3.0,L,D,M,M,M,W,W,M,M,M,1,6,3.0,0,0,-1.0,3.5,-2.5,-5
26,2018-08-26,Fulham,Burnley,4,2,H,1,1,5,3,0.0,0.5,L,L,M,M,M,L,D,M,M,M,0,1,3.0,0,0,-2.0,-1.0,-0.5,-1
27,2018-08-26,Newcastle,Chelsea,1,2,A,1,6,2,2,0.5,3.0,D,L,M,M,M,W,W,M,M,M,1,6,3.0,0,0,-0.5,2.0,-2.5,-5
28,2018-08-26,Watford,Crystal Palace,2,1,H,5,2,1,2,3.0,1.5,W,W,M,M,M,L,W,M,M,M,6,3,3.0,0,0,2.0,0.0,1.5,3
29,2018-08-27,Man United,Tottenham,0,3,A,4,5,4,2,1.5,3.0,L,W,M,M,M,W,W,M,M,M,3,6,3.0,0,0,0.0,1.5,-1.5,-3
30,2018-09-01,Brighton,Fulham,2,2,D,3,5,5,7,1.0,1.0,L,W,L,M,M,W,L,L,M,M,3,3,4.0,0,0,-0.6666666666666666,-0.6666666666666666,0.0,0
31,2018-09-01,Chelsea,Bournemouth,2,0,H,8,6,3,3,3.0,2.3333333333333335,W,W,W,M,M,D,W,W,M,M,9,7,4.0,1,0,1.6666666666666667,1.0,0.6666666666666666,2
32,2018-09-01,Crystal Palace,Southampton,0,2,A,3,2,4,4,1.0,0.3333333333333333,L,L,W,M,M,L,L,D,M,M,3,1,4.0,0,0,-0.3333333333333333,-0.6666666666666666,0.6666666666666666,2
33,2018-09-01,Everton,Huddersfield,1,1,D,6,1,5,9,1.6666666666666667,0.3333333333333333,D,W,D,M,M,D,L,L,M,M,5,1,4.0,0,0,0.3333333333333333,-2.6666666666666665,1.3333333333333333,4
34,2018-09-01,Leicester,Liverpool,1,2,A,5,7,3,0,2.0,3.0,W,W,L,M,M,W,W,W,M,M,6,9,4.0,0,1,0.6666666666666666,2.3333333333333335,-1.0,-3
35,2018-09-01,Man City,Newcastle,2,1,H,9,2,2,4,2.3333333333333335,0.3333333333333333,D,W,W,M,M,L,D,L,M,M,7,1,4.0,0,0,2.3333333333333335,-0.6666666666666666,2.0,6
36,2018-09-01,West Ham,Wolves,0,1,A,2,3,9,5,0.0,0.6666666666666666,L,L,L,M,M,D,L,D,M,M,0,2,4.0,-1,0,-2.3333333333333335,-0.6666666666666666,-0.6666666666666666,-2
37,2018-09-02,Burnley,Man United,0,2,A,3,4,7,7,0.3333333333333333,1.0,L,L,D,M,M,L,L,W,M,M,1,3,4.0,0,0,-1.3333333333333333,-1.0,-0.6666666666666666,-2
38,2018-09-02,Cardiff,Arsenal,2,3,A,0,5,2,6,0.6666666666666666,1.0,D,D,L,M,M,W,L,L,M,M,2,3,4.0,0,0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-1
39,2018-09-02,Watford,Tottenham,2,1,H,7,8,2,2,3.0,3.0,W,W,W,M,M,W,W,W,M,M,9,9,4.0,1,1,1.6666666666666667,2.0,0.0,0
40,2018-09-15,Bournemouth,Leicester,4,2,H,6,6,5,5,1.75,1.5,L,D,W,W,M,L,W,W,L,M,7,6,5.0,0,0,0.25,0.25,0.25,1
41,2018-09-15,Chelsea,Cardiff,4,1,H,10,2,3,5,3.0,0.5,W,W,W,W,M,L,D,D,L,M,12,2,5.0,1,0,1.75,-0.75,2.5,10
42,2018-09-15,Huddersfield,Crystal Palace,0,1,A,2,3,10,6,0.5,0.75,D,D,L,L,M,L,L,L,W,M,2,3,5.0,0,-1,-2.0,-0.75,-0.25,-1
43,2018-09-15,Man City,Fulham,3,0,H,11,7,3,9,2.5,1.0,W,D,W,W,M,D,W,L,L,M,10,4,5.0,0,0,2.0,-0.5,1.5,6
44,2018-09-15,Newcastle,Arsenal,1,2,A,3,8,6,8,0.25,1.5,L,L,D,L,M,W,W,L,L,M,1,6,5.0,0,0,-0.75,0.0,-1.25,-5
45,2018-09-15,Tottenham,Liverpool,1,2,A,9,9,4,1,2.25,3.0,L,W,W,W,M,W,W,W,W,M,9,12,5.0,0,1,1.25,2.0,-0.75,-3
46,2018-09-15,Watford,Man United,1,2,A,9,6,3,7,3.0,1.5,W,W,W,W,M,W,L,L,W,M,12,6,5.0,1,0,1.5,-0.25,1.5,6
47,2018-09-16,Everton,West Ham,1,3,A,7,2,6,10,1.5,0.0,D,D,W,D,M,L,L,L,L,M,6,0,5.0,0,-1,0.25,-2.0,1.5,6
48,2018-09-16,Wolves,Burnley,1,0,H,4,3,5,9,1.25,0.25,W,D,L,D,M,L,L,L,D,M,5,1,5.0,0,-1,-0.25,-1.5,1.0,4
49,2018-09-17,Southampton,Brighton,2,2,D,4,5,4,7,1.0,1.0,W,L,L,D,M,D,L,W,L,M,4,4,5.0,0,0,0.0,-0.5,0.0,0
50,2018-09-22,Brighton,Tottenham,1,2,A,7,10,9,6,1.0,1.8,D,D,L,W,L,L,L,W,W,W,5,9,6.0,0,0,-0.4,0.8,-0.8,-4
51,2018-09-22,Burnley,Bournemouth,4,0,H,3,10,10,7,0.2,2.0,L,L,L,L,D,W,L,D,W,W,1,10,6.0,-1,0,-1.4,0.6,-1.8,-9
52,2018-09-22,Cardiff,Man City,0,5,A,3,14,9,3,0.4,2.6,L,L,D,D,L,W,W,D,W,W,2,13,6.0,0,0,-1.2,2.2,-2.2,-11
53,2018-09-22,Crystal Palace,Newcastle,0,0,D,4,4,6,8,1.2,0.2,W,L,L,L,W,L,L,L,D,L,6,1,6.0,0,-1,-0.4,-0.8,1.0,5
54,2018-09-22,Fulham,Watford,1,1,D,7,10,12,5,0.8,2.4,L,D,W,L,L,L,W,W,W,W,4,12,6.0,0,0,-1.0,1.0,-1.6,-8
55,2018-09-22,Leicester,Huddersfield,3,1,H,8,2,9,11,1.2,0.4,L,L,W,W,L,L,D,D,L,L,6,2,6.0,0,0,-0.2,-1.8,0.8,4
56,2018-09-22,Liverpool,Southampton,3,0,H,11,6,2,6,3.0,1.0,W,W,W,W,W,D,W,L,L,D,15,5,6.0,1,0,1.8,0.0,2.0,10
57,2018-09-22,Man United,Wolves,1,1,D,8,5,8,5,1.8,1.6,W,W,L,L,W,W,W,D,L,D,9,8,6.0,0,0,0.0,0.0,0.2,1
58,2018-09-23,Arsenal,Everton,2,0,H,10,8,9,9,1.8,1.2,W,W,W,L,L,L,D,D,W,D,9,6,6.0,1,0,0.2,-0.2,0.6,3
59,2018-09-23,West Ham,Chelsea,0,0,D,5,14,11,4,0.6,3.0,W,L,L,L,L,W,W,W,W,W,3,15,6.0,0,1,-1.2,2.0,-2.4,-12
60,2018-09-29,Arsenal,Watford,2,0,H,12,11,9,6,2.0,2.1666666666666665,W,W,W,W,L,D,L,W,W,W,12,10,7.0,1,0,0.5,0.8333333333333334,-0.16666666666666666,2
61,2018-09-29,Chelsea,Liverpool,1,1,D,14,14,4,2,2.6666666666666665,3.0,D,W,W,W,W,W,W,W,W,W,13,15,7.0,0,1,1.6666666666666667,2.0,-0.3333333333333333,-2
62,2018-09-29,Everton,Fulham,3,0,H,8,8,11,13,1.0,0.8333333333333334,L,L,D,D,W,D,L,D,W,L,5,5,7.0,0,0,-0.5,-0.8333333333333334,0.16666666666666666,0
63,2018-09-29,Huddersfield,Tottenham,0,2,A,3,12,14,7,0.3333333333333333,2.0,L,L,D,D,L,W,L,L,W,W,2,9,7.0,0,0,-1.8333333333333333,0.8333333333333334,-1.6666666666666667,-7
64,2018-09-29,Man City,Brighton,2,0,H,19,8,3,11,2.6666666666666665,0.8333333333333334,W,W,W,D,W,L,D,D,L,W,13,5,7.0,1,0,2.6666666666666665,-0.5,1.8333333333333333,8
65,2018-09-29,Newcastle,Leicester,0,2,A,4,11,8,10,0.3333333333333333,1.5,D,L,L,L,D,W,L,L,W,W,2,9,7.0,0,0,-0.6666666666666666,0.16666666666666666,-1.1666666666666667,-7
66,2018-09-29,West Ham,Man United,3,1,H,5,9,11,9,0.6666666666666666,1.6666666666666667,D,W,L,L,L,D,W,W,L,L,4,7,7.0,0,0,-1.0,0.0,-1.0,-3
67,2018-09-29,Wolves,Southampton,2,0,H,6,6,6,9,1.5,0.8333333333333334,D,W,W,D,L,L,D,W,L,L,8,4,7.0,0,0,0.0,-0.5,0.6666666666666666,4
68,2018-09-30,Cardiff,Burnley,1,2,A,3,7,14,10,0.3333333333333333,0.6666666666666666,L,L,L,D,D,W,L,L,L,L,2,3,7.0,-1,0,-1.8333333333333333,-0.5,-0.3333333333333333,-1
69,2018-10-01,Bournemouth,Crystal Palace,2,1,H,10,4,11,6,1.6666666666666667,1.1666666666666667,L,W,L,D,W,D,W,L,L,L,7,4,7.0,0,0,-0.16666666666666666,-0.3333333333333333,0.5,3
70,2018-10-05,Brighton,West Ham,1,0,H,8,8,13,12,0.7142857142857143,1.0,L,L,D,D,L,W,D,W,L,L,2,7,8.0,0,0,-0.7142857142857143,-0.5714285714285714,-0.2857142857142857,-5
71,2018-10-06,Burnley,Huddersfield,1,1,D,9,3,11,16,1.0,0.2857142857142857,W,W,L,L,L,L,L,L,D,D,6,2,8.0,0,-1,-0.2857142857142857,-1.8571428571428572,0.7142857142857143,4
72,2018-10-06,Crystal Palace,Wolves,0,1,A,5,8,8,6,1.0,1.7142857142857142,L,D,W,L,L,W,D,W,W,D,4,11,8.0,0,0,-0.42857142857142855,0.2857142857142857,-0.7142857142857143,-7
73,2018-10-06,Leicester,Everton,1,2,A,13,11,10,11,1.7142857142857142,1.2857142857142858,W,W,L,L,W,W,L,L,D,D,9,5,8.0,0,0,0.42857142857142855,0.0,0.42857142857142855,4
74,2018-10-06,Man United,Newcastle,3,2,H,10,4,12,10,1.4285714285714286,0.2857142857142857,L,D,W,W,L,L,D,L,L,L,7,1,8.0,0,0,-0.2857142857142857,-0.8571428571428571,1.1428571428571428,6
75,2018-10-06,Tottenham,Cardiff,1,0,H,14,4,7,16,2.142857142857143,0.2857142857142857,W,W,L,L,W,L,L,L,L,D,9,1,8.0,0,-1,1.0,-1.7142857142857142,1.8571428571428572,8
76,2018-10-06,Watford,Bournemouth,0,4,A,11,12,8,12,1.8571428571428572,1.8571428571428572,L,D,L,W,W,W,L,W,L,D,7,7,8.0,0,0,0.42857142857142855,0.0,0.0,0
77,2018-10-07,Fulham,Arsenal,1,5,A,8,14,16,9,0.7142857142857143,2.142857142857143,L,D,L,D,W,W,W,W,W,W,5,15,8.0,0,1,-1.1428571428571428,0.7142857142857143,-1.4285714285714286,-10
78,2018-10-07,Liverpool,Man City,0,0,D,15,21,3,3,2.7142857142857144,2.7142857142857144,D,W,W,W,W,W,W,W,W,D,13,13,8.0,0,1,1.7142857142857142,2.5714285714285716,0.0,0
79,2018-10-07,Southampton,Chelsea,0,3,A,6,15,11,5,0.7142857142857143,2.4285714285714284,L,L,D,W,L,D,D,W,W,W,4,11,8.0,0,0,-0.7142857142857143,1.4285714285714286,-1.7142857142857142,-7
80,2018-10-20,Bournemouth,Southampton,0,0,D,16,6,12,14,2.0,0.625,W,W,L,W,L,L,L,L,D,W,9,4,9.0,0,-1,0.5,-1.0,1.375,5
81,2018-10-20,Cardiff,Fulham,4,2,H,4,9,17,21,0.25,0.625,L,L,L,L,L,L,L,D,L,D,0,2,9.0,-1,0,-1.625,-1.5,-0.375,-2
82,2018-10-20,Chelsea,Man United,2,2,D,18,13,5,14,2.5,1.625,W,D,D,W,W,W,L,D,W,W,11,10,9.0,0,0,1.625,-0.125,0.875,1
83,2018-10-20,Huddersfield,Liverpool,0,1,A,4,15,17,3,0.375,2.5,D,L,L,L,D,D,D,W,W,W,2,11,9.0,0,0,-1.625,1.5,-2.125,-9
84,2018-10-20,Man City,Burnley,5,0,H,21,10,3,12,2.5,1.0,D,W,W,W,W,D,W,W,L,L,13,7,9.0,0,0,2.25,-0.25,1.5,6
85,2018-10-20,Newcastle,Brighton,0,1,A,6,9,13,13,0.25,1.0,L,L,D,L,L,W,L,L,D,D,1,5,9.0,0,0,-0.875,-0.5,-0.75,-4
86,2018-10-20,West Ham,Tottenham,0,1,A,8,15,13,7,0.875,2.25,L,W,D,W,L,W,W,W,L,L,7,9,9.0,0,1,-0.625,1.0,-1.375,-2
87,2018-10-20,Wolves,Watford,0,2,A,9,11,6,12,1.875,1.625,W,W,D,W,W,L,L,D,L,W,13,4,9.0,0,0,0.375,-0.125,0.25,9
88,2018-10-21,Everton,Crystal Palace,2,0,H,13,5,12,9,1.5,0.875,W,W,L,L,D,L,L,D,W,L,7,4,9.0,0,0,0.125,-0.5,0.625,3
89,2018-10-22,Arsenal,Leicester,3,1,H,19,14,10,12,2.25,1.5,W,W,W,W,W,L,W,W,L,L,15,6,9.0,1,0,1.125,0.25,0.75,9
90,2018-10-27,Brighton,Wolves,1,0,H,10,9,13,8,1.2222222222222223,1.6666666666666667,W,W,L,L,D,L,W,W,D,W,7,10,10.0,0,0,-0.3333333333333333,0.1111111111111111,-0.4444444444444444,-3
91,2018-10-27,Fulham,Bournemouth,0,3,A,11,16,25,12,0.5555555555555556,1.8888888888888888,L,L,L,D,L,D,W,W,L,W,1,10,10.0,-1,0,-1.5555555555555556,0.4444444444444444,-1.3333333333333333,-9
92,2018-10-27,Leicester,West Ham,1,1,D,15,8,15,14,1.3333333333333333,0.7777777777777778,L,L,W,W,L,L,L,W,D,W,6,7,10.0,0,0,0.0,-0.6666666666666666,0.5555555555555556,-1
93,2018-10-27,Liverpool,Cardiff,4,1,H,16,8,3,19,2.5555555555555554,0.5555555555555556,W,D,D,W,W,W,L,L,L,L,11,3,10.0,0,0,1.4444444444444444,-1.2222222222222223,2.0,8
94,2018-10-27,Southampton,Newcastle,0,0,D,6,6,14,14,0.6666666666666666,0.2222222222222222,D,L,L,L,D,L,L,L,D,L,2,1,10.0,0,-1,-0.8888888888888888,-0.8888888888888888,0.4444444444444444,1
95,2018-10-27,Watford,Huddersfield,3,0,H,13,4,12,18,1.7777777777777777,0.3333333333333333,W,L,L,D,L,L,D,L,L,L,4,1,10.0,0,0,0.1111111111111111,-1.5555555555555556,1.4444444444444444,3
96,2018-10-28,Burnley,Chelsea,0,4,A,10,20,17,7,0.8888888888888888,2.3333333333333335,L,D,W,W,L,D,W,D,D,W,7,9,10.0,0,0,-0.7777777777777778,1.4444444444444444,-1.4444444444444444,-2
97,2018-10-28,Crystal Palace,Arsenal,2,2,D,5,22,11,11,0.7777777777777778,2.3333333333333335,L,L,L,D,W,W,W,W,W,W,4,15,10.0,-1,1,-0.6666666666666666,1.2222222222222223,-1.5555555555555556,-11
98,2018-10-28,Man United,Everton,2,1,H,15,15,16,12,1.5555555555555556,1.6666666666666667,D,W,L,D,W,W,W,W,L,L,8,9,10.0,0,1,-0.1111111111111111,0.3333333333333333,-0.1111111111111111,-1
99,2018-10-29,Tottenham,Man City,0,1,A,16,26,7,3,2.3333333333333335,2.5555555555555554,W,W,W,W,L,W,D,W,W,W,12,13,10.0,1,0,1.0,2.5555555555555554,-0.2222222222222222,-1
100,2018-11-03,Arsenal,Liverpool,1,1,D,24,20,13,4,2.2,2.6,D,W,W,W,W,W,W,D,D,W,13,11,11.0,0,0,1.1,1.6,-0.4,2
101,2018-11-03,Bournemouth,Man United,1,2,A,19,17,12,17,2.0,1.7,W,D,W,W,L,W,D,W,L,D,10,8,11.0,0,0,0.7,0.0,0.3,2
102,2018-11-03,Cardiff,Leicester,0,1,A,9,16,23,16,0.5,1.3,L,W,L,L,L,D,L,L,W,W,3,7,11.0,0,0,-1.4,0.0,-0.8,-4
103,2018-11-03,Everton,Brighton,3,1,H,16,11,14,13,1.5,1.4,L,W,W,W,L,W,W,W,L,L,9,9,11.0,0,1,0.2,-0.2,0.1,0
104,2018-11-03,Newcastle,Watford,1,0,H,6,16,14,12,0.3,1.9,D,L,L,L,D,W,W,L,L,D,2,7,11.0,0,0,-0.8,0.4,-1.6,-5
105,2018-11-03,West Ham,Burnley,4,2,H,9,10,15,21,0.8,0.8,D,L,L,W,D,L,L,D,W,W,5,7,11.0,0,0,-0.6,-1.1,0.0,-2
106,2018-11-03,Wolves,Tottenham,2,3,A,9,16,9,8,1.5,2.1,L,L,W,W,D,L,W,W,W,W,7,12,11.0,0,0,0.0,0.8,-0.6,-5
107,2018-11-04,Chelsea,Crystal Palace,3,1,H,24,7,7,13,2.4,0.8,W,D,W,D,D,D,L,L,L,D,9,2,11.0,0,0,1.7,-0.6,1.6,7
108,2018-11-04,Man City,Southampton,6,1,H,27,6,3,14,2.6,0.7,W,W,D,W,W,D,D,L,L,L,13,2,11.0,0,0,2.4,-0.8,1.9,11
109,2018-11-05,Huddersfield,Fulham,1,0,H,4,11,21,28,0.3,0.5,L,L,D,L,L,L,L,L,L,D,1,1,11.0,0,-1,-1.7,-1.7,-0.2,0
110,2018-11-10,Cardiff,Brighton,2,1,H,9,12,24,16,0.45454545454545453,1.2727272727272727,L,L,W,L,L,L,W,W,W,L,3,9,12.0,0,0,-1.3636363636363635,-0.36363636363636365,-0.8181818181818182,-6
111,2018-11-10,Crystal Palace,Tottenham,0,1,A,8,19,16,10,0.7272727272727273,2.1818181818181817,L,D,L,L,L,W,L,W,W,W,1,12,12.0,0,0,-0.7272727272727273,0.8181818181818182,-1.4545454545454546,-11
112,2018-11-10,Huddersfield,West Ham,1,1,D,5,13,21,17,0.5454545454545454,1.0,W,L,L,D,L,W,D,L,L,W,4,7,12.0,0,0,-1.4545454545454546,-0.36363636363636365,-0.45454545454545453,-3
113,2018-11-10,Leicester,Burnley,0,0,D,17,12,16,25,1.4545454545454546,0.7272727272727273,W,D,L,L,W,L,L,L,D,W,7,4,12.0,0,-1,0.09090909090909091,-1.1818181818181819,0.7272727272727273,3
114,2018-11-10,Newcastle,Bournemouth,2,1,H,7,20,14,14,0.5454545454545454,1.8181818181818181,W,D,L,L,L,L,W,D,W,W,4,10,12.0,0,0,-0.6363636363636364,0.5454545454545454,-1.2727272727272727,-6
115,2018-11-10,Southampton,Watford,1,1,D,7,16,20,13,0.6363636363636364,1.7272727272727273,L,D,D,L,L,L,W,W,L,L,2,6,12.0,0,0,-1.1818181818181819,0.2727272727272727,-1.0909090909090908,-4
